about_property,address,allowed_floors,boundary_walls,plot_area,price,price_per,tranjection_type,width_facing_road
,"mansarovar, Udaipur",,No,(222.97 sq.m.), 54 Lac," 2,250 per sq.ft. ",,40.0 Feet
,"Pulak vihar, Udaipur",,No,(185.06 sq.m.), 51.79 Lac," 2,600 per sq.ft. ",,30.0 Feet
,"Chitrakoot Nagar, Udaipur",,Yes,(179.86 sq.m.), 61.95 Lac," 3,200 per sq.ft.  ",,30.0 Feet
,"Bhupalpura, Udaipur",,Yes,(222.97 sq.m.), 1.68 Crore," 7,000 per sq.ft.  ",,40.0 Feet
,"Purohiton ka taalab Amberi, Udaipur",3 Floors,No,(119.57 sq.m.), 17.37 Lac," 1,350 per sq.ft.  ",,60.0 Feet
,"Snehal Vihar, Titrdi, Udaipur",,Yes,(96.62 sq.m.), 14 Lac," 1,346 per sq.ft. ",,30.0 Feet
,"Umarda, Udaipur",,Yes,(278.71 sq.m.), 21 Lac, 700 per sq.ft. ,,
,"Flora, Udaipur",,Yes,(195.1 sq.m.), 94.5 Lac," 4,500 per sq.ft. ",,30.0 Feet
,"Debari, Udaipur",3 Floors,No,(167.23 sq.m.), 23.4 Lac," 1,300 per sq.ft.  ",,
,"Raghunathpura, Udaipur",3 Floors,Yes,(167.23 sq.m.), 40 Lac," 2,222 per sq.ft.  ",,40.0 Feet
,"Rakampura Road, Nakoda Nagar, Udaipur",0 Floors,Yes,(251.21 sq.m.), 60.84 Lac," 2,250 per sq.ft. ",,30.0 Feet
,"Dabok, Udaipur",,No,(83.61 sq.m.), 4 Lac, 445 per sq.ft. ,,
,"Pulak vihar, Udaipur",,No,(139.35 sq.m.), 37.5 Lac," 2,500 per sq.ft. ",,30.0 Feet
,"tiger hills, Udaipur",,Yes,(255.48 sq.m.), 82.5 Lac," 3,000 per sq.ft. ",,30.0 Feet
,"technocrat society, Udaipur",,Yes,(196.03 sq.m.), 94.95 Lac," 4,500 per sq.ft. ",,30.0 Feet
,"Bhinder, Udaipur",,Yes,(1858.06 sq.m.), 30 Lac, 150 per sq.ft.  ,,60.0 Feet
,"Sector-3 Udaipur, Udaipur",3 Floors,No,(167.23 sq.m.), 81 Lac," 4,500 per sq.ft.  ",,30.0 Feet
,"Balicha, Udaipur",4 Floors,No,(211.35 sq.m.), 49 Lac," 2,153 per sq.ft.  ",,35.0 Feet
,"Pahada, Udaipur",,No,(1975.58 sq.m.), 12.55 Crore," 5,900 per sq.ft. ",,
,"tiger hill, Udaipur",,Yes,(464.52 sq.m.), 1.32 Crore," 2,650 per sq.ft.  ",,40.0 Feet
,"Airport Road, Udaipur",3 Floors,Yes,(204.94 sq.m.), 12 Lac, 543 per sq.ft. ,,40.0 Feet
,"Deekli, Udaipur",,No,(139.35 sq.m.), 21 Lac," 1,400 per sq.ft. ",,60.0 Feet
,"Ganapati Nagar, Udaipur",3 Floors,Yes,(219.9 sq.m.), 70 Lac," 2,685 per sq.ft. ",,34.0 Feet
,"Rebariyo Ka Guda, Udaipur",,No,(167.23 sq.m.), 40.5 Lac," 2,250 per sq.ft. ",,40.0 Feet
,"Pratap Nagar, Udaipur",,No,(128.86 sq.m.), 50 Lac," 3,604 per sq.ft. ",,
,"Bari, Udaipur",3 Floors,Yes,(172.8 sq.m.), 20 Lac," 1,075 per sq.ft. ",,20.0 Feet
,"Maglam, Sector-9 Udaipur, Udaipur",,Yes,(556121.16 sq.m.), 20 Crore," 583,090 per bigha  ",,145.0 Feet
,"Balicha, Udaipur",0 Floors,Yes,(118.92 sq.m.), 25.6 Lac," 2,000 per sq.ft.  ",,40.0 Feet
,"IEVO complex, Bedla, Udaipur",,Yes,(158.86 sq.m.), 31.65 Lac," 1,850 per sq.ft.  ",,38.0 Feet
,"Pratap Nagar, Udaipur",,No,(92.9 sq.m.), 50 Lac," 5,000 per sq.ft. ",,
,"Udaipur Cement Factory, Mavli Road, Udaipur",,No,(890.29 sq.m.), 48 Lac, 501 per sq.ft. ,,
,"Bhuwana, Udaipur",,Yes,(2694.19 sq.m.), 9 Crore," 3,103 per sq.ft.  ",,80.0 Feet
,"Lakhawali, Udaipur",3 Floors,Yes,(139.35 sq.m.), 13 Lac, 866 per sq.ft.  ,,
,"Umarda, Udaipur",2 Floors,No,(334.45 sq.m.), 25.24 Lac, 700 per sq.ft.  ,,30.0 Feet
,"Parswnath Nagar, Near Step By Step School Sec 15, Udaipur, Udaipur",,No,(167.23 sq.m.), 40 Lac," 2,222 per sq.ft.  ",,40.0 Feet
,"ghasiyar, Udaipur",3 Floors,No,(9940.63 sq.m.), 1.5 Crore, 150 per sq.ft. ,,
,"Dabok, Udaipur",,No,(115.57 sq.m.), 11.9 Lac, 950 per sq.ft.  ,,
,"Chirwa, Udaipur",0 Floors,Yes,(1900 sq.m.), 33 Lac, 161 per sq.ft. ,,30.0 Feet
,"Ashok Vihar,, Ashok Vihar, Udaipur",3 Floors,Yes,(326.55 sq.m.), 1.9 Crore," 5,405 per sq.ft. ",,30.0 Feet
,"nela road, Udaipur",,No,(192.31 sq.m.), 45 Lac," 19,566 per sq.yards ",,
,"New Keshav Nagar, Udaipur",,Yes,(334.45 sq.m.), 1.35 Crore," 3,750 per sq.ft. ",,60.0 Feet
,"N. H.76, village - Dhikali, Udaipur",,No,(139.35 sq.m.), 27.5 Lac," 1,833 per sq.ft. ",,30.0 Feet
,"Balicha, Udaipur",4 Floors,Yes,(167.23 sq.m.), 36 Lac," 2,000 per sq.ft. ",,
,"Dabok, Udaipur",,,(167.23 sq.m.), 7.2 Lac, 400 per sq.ft. ,,
,"Savina Jogi Talaab Road, Udaipur",3 Floors,No,(116.13 sq.m.), 40 Lac," 3,200 per sq.ft.  ",,30.0 Feet
,"NAGDA,KAILASHPURI, Udaipur",,No,(23250 sq.m.), 4 Crore, 159 per sq.ft.  ,,
,"Chitrakoot nagar, Vistar yojna, Before community hall, Udaipur",3 Floors,No,(250.84 sq.m.), 99 Lac," 3,666 per sq.ft. ",,
,"Baleecha, Udaipur",1 Floors,No,(33.45 sq.m.), 8.5 Lac," 2,362 per sq.ft.  ",,
,"Jai Shree Vihar, Udaipur",3 Floors,Yes,(167.23 sq.m.), 40 Lac," 2,200 per sq.ft.  ",,40.0 Feet
,"Titrdi, Udaipur",,No,(254.55 sq.m.), 27.4 Lac," 1,000 per sq.ft. ",,
,"gogunda highway, Udaipur",1 Floors,Yes,(8106.72 sq.m.), 1.5 Crore," 3,000,000 per bigha  ",,30.0 Feet
,"Hiran Magri  , Udaipur",,Yes,(304.72 sq.m.), 2.5 Crore," 7,621 per sq.ft. ",,
,"Mba, Indian, Udaipur",3 Floors,No,(125.62 sq.m.), 20.31 Lac," 1,502 per sq.ft.  ",,29.0 Feet
